Grupo Planificación,ID Equipo,Prioridad,Clase Orden,Plan Orden,Orden,Descripción de la Orden,Puesto Trabajo Responsable,Estado Sistema Orden,Estado Usuario Orden,Autor Orden,Fecha Orden,Fecha Inicion Extremo,Inicio Programado,Inicio Real,Modificado por,Fecha Modificación,Código Estado Sistema,Código Estado Usuario,Estado Sistema,Estado Orden
PAL,PD301,1,ZM01,,7117525,CAMBIO DE ENFRIADOR HIDRAULICO,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,PLAN SPCD,JGOMEZ,25-may-22,30-abr-23,30-abr-23,,MBERROSPI,14-mar-24,LIB.,PLAN,ABIE,PLAN
PAL,PD402,1,ZM01,,7119492,CAMBIO DE VALVULA CHECK DE COMPRESOR,MECPAL01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,JGOMEZ,03-jul-22,30-abr-23,30-abr-23,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,1,ZM01,,7120227,Cambio de guiador de cable,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JGOMEZ,17-jul-22,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,1,ZM01,,7120231,Cambio de guiador de cable,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JGOMEZ,17-jul-22,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,1,ZM01,,7122221,Cambio soporte llave quiebre,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,30-ago-22,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,1,ZM01,,7124235,"CAMBIO ALMOHADILLA,JACKCAST,26"" TRASERO",MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,09-oct-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,1,ZM01,,7124236,CAMBIO DE BLOCK DE VÁLVULA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,09-oct-22,15-jul-24,15-jul-24,,FNINA,18-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,1,ZM01,,7124237,CAMBIO DE PERNOS DE SOPORTE DE COLECTOR,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,09-oct-22,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,1,ZM01,,7124904,CAMBIO CONJUNTO CILINDRO ROD SUPPORT,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,23-oct-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,1,ZM01,,7125625,CAMBIO DE VIDRIOS Y GRECAS DE PUERTA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,04-nov-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,1,ZM01,,7125644,REPARACIÓN FISURA SOPORTE EJE CARRUSEL,MECPAL01,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,JGOMEZ,05-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD402,1,ZM01,,7125645,REP FISUR SOPORT SUP CARRO PERFORACION,MECPAL01,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,JGOMEZ,05-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD402,1,ZM01,,7125646,REP FISUR BASE CABLE PROTEC CAIDA BARRAS,MECPAL01,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,JGOMEZ,05-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD402,1,ZM01,,7125647,REPARACIÓN DE FISURA EN SHOCK ABSORBER,MECPAL01,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,JGOMEZ,05-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD402,1,ZM01,,7125648,REP FISUR SOLDADUR SEGURO STRUP RH Y LH,MECPAL01,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,JGOMEZ,05-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,2,ZM01,,7125712,Cambio total componentes A/C,MINELC01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,RSALAZAR,06-nov-22,01-abr-24,01-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7125713,Cambio total componentes A/C,MINELC01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,RSALAZAR,06-nov-22,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7126295,KIT DE MANOMETROS X EVALUACION,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JPAREDES,16-nov-22,30-abr-23,30-abr-23,,FNINA,16-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD302,1,ZM01,,7126605,CAMBIO BAQUEL CENTRALIZ CAB ROTACION,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,22-nov-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,1,ZM01,,7126618,CAMBIO DE VÁLVULA DE SEGURIDAD,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JGOMEZ,22-nov-22,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,1,ZM01,,7126622,CAMBIO VIDRIO PUERTA ACCESO LATERAL CABI,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,22-nov-22,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7126691,CBO PLUMILLA SUP X DESGASTE,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JPAREDES,24-nov-22,21-abr-23,28-mar-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,2,ZM01,,7126692,REGULAC CABEZAL X DESGASTE,MECPAL01,LIB. DMNV FMAT MOVM NLIQ PREC,WMAT SPCD,JPAREDES,24-nov-22,02-abr-24,02-abr-24,,UGPMMAININ08,22-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7126695,CBO BBA AGUA COMPLETA X FALLA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,24-nov-22,18-ago-23,18-ago-23,,FNINA,07-ago-23,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7126696,CBO BBA AGUA COMPLETA X FALLA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,24-nov-22,30-abr-23,30-abr-23,,FNINA,03-abr-23,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7127001,CBO GARRA LLAVE QUIEBRE,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JPAREDES,29-nov-22,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,3,ZM01,,7127002,cb garras llave quiebre x desgaste,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,PROG SPCD,JPAREDES,29-nov-22,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD103,2,ZM01,,7127101,Cambio de Componentes del Sistema HVAC,MINELC01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,RSALAZAR,02-dic-22,15-abr-24,15-abr-24,,FNINA,16-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,3,ZM01,,7127654,CAMBIO DE CONTROLADORES DE PROPEL Y DUA,MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,JTAYPE,13-dic-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,3,ZM01,,7127655,"cAMBIO DE CONTROLADORES DE PROPEL, ROTAC",MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,JTAYPE,13-dic-22,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,1,ZM01,,7127740,PLATE EN MAL ESTADO,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,16-dic-22,15-abr-24,15-abr-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,1,ZM01,,7127743,FILTRO TANQUE DE ACEITE,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JGOMEZ,16-dic-22,26-mar-23,23-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD401,1,ZM01,,7127745,REP ESTRUCTURA DE TORRE,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,PROG SPCD,JGOMEZ,16-dic-22,02-mar-23,02-mar-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,2,ZM01,,7128025,Cambio de baquelitas y shims de cabezal,MECPAL01,LIB. DMNV FMAT MOVM NLIQ PREC,WMAT SPCD,JGOMEZ,21-dic-22,02-abr-24,02-abr-24,,UGPMMAININ08,22-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7128026,Cambio de baquelitas y shims de cabezal,MECPAL01,LIB. DMNV FMAT MOVM NLIQ PREC,WMAT SPCD,JGOMEZ,21-dic-22,15-abr-24,15-abr-24,,FNINA,17-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7128027,Cambio de baquelitas y shims de cabezal,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JGOMEZ,21-dic-22,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,1,ZM01,,7130492,CAMBIO DE RODILLO SUPERIOR,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JGOMEZ,07-feb-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,2,ZM01,,7131098,MEDIR JUEGO AXIAL DEL SPINDLE DE CAB ROT,INGCONFM,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,MBERROSPI,19-feb-23,31-may-23,31-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD103,2,ZM01,,7131104,MEDIR JUEGO AXIAL DEL SPINDLE DE CAB ROT,INGCONFM,LIB. DMNV EDET KKMP NLIQ PREC,PROG SPCD,MBERROSPI,19-feb-23,24-feb-23,24-feb-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,2,ZM01,,7132374,Cambio de corneta CLAXON,MINELC01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,RSALAZAR,16-mar-23,25-abr-24,25-abr-24,,UGPMMAININ05,28-mar-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,2,ZM01,,7132889,CAMBIO DE NIPLE DE ENFRIADOR,MECPAL01,LIB. DMNV FMAT MOVM NLIQ PREC,PROG SPCD,JGOMEZ,25-mar-23,05-jul-23,05-jul-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD402,2,ZM01,,7132890,CAMBIO DE INDICADOR RESTRICTOR DE COMPR,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JGOMEZ,25-mar-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
INS,PD102,2,ZM01,,7133134,Cambio modulo I/O D512 (leer aviso),MINELC01,LIB. DMNV MOVM NLIQ PREC,DPRO GRTA,OHERQUINIO,29-mar-23,30-jun-24,30-jun-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD102,2,ZM01,,7133245,REQUIERE CAMBIO DE MAGUERAS HIDRAULICAS,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JPAREDES,31-mar-23,15-abr-24,15-abr-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,3,ZM01,,7133249,CAMBIO DE MANOMETRO DE TEMPERATURA DE TA,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,PROG SPCD,JPAREDES,31-mar-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD401,3,ZM01,,7133251,CAMBIO DE TOMAS RAPIDAS Y SELLOS EN BLOQ,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,31-mar-23,15-abr-24,15-abr-24,,UGPMCONFSU02,03-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,3,ZM01,,7133254,CAMBIO DE MANOMETRO DE TANQUE DE GRASA,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,31-mar-23,15-abr-24,15-abr-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,3,ZM01,,7133255,CAMBIO DE MANOMETRO DIFERENCIAL DE PRESI,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,DPRO SPCD,JPAREDES,31-mar-23,21-abr-24,21-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,3,ZM01,,7133256,CAMBIO DE VÁLVULA DE ALIVIO DEL TANQUE D,MECPAL01,LIB. DMNV EDET NLIQ PREC,PROG SPCD,JPAREDES,31-mar-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,3,ZM01,,7133257,CAMBIO DE PLACA Y PIN DE PLATO ESTABILIZ,MECPAL01,LIB. IMPR DMNV FMAT MOVM NLIQ PREC,PROG SPCD,JPAREDES,31-mar-23,09-ene-24,09-ene-24,,JFAILOC,03-ene-24,LIB.,PROG,ABIE,PROG
PAL,PD101,,ZM01,,7133462,CBIO BAQUELITAS PARA CARRITO PORTAPOLEA,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JPAREDES,04-abr-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7133463,CBIO BAQUELITAS PARA CARRO DE CABEZAL,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,04-abr-23,01-abr-24,01-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7133465,CBIO GUIAS BAQUELITA PARA CIL. PULLDOW,MECPAL01,LIB. DMNV FMAT NLIQ PREC,WMAT SPCD,JPAREDES,04-abr-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD101,2,ZM01,,7133467,INSTALAR CLAMPS PARA EVITAR VIBRACION,MECPAL01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,JPAREDES,04-abr-23,20-abr-24,20-abr-24,,UGPMMAININ08,06-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,2,ZM01,,7133469,CAMBIO DE INSERTO DE ROD SUPPORT,MECPAL01,LIB. IMPR DMNV MOVM NLIQ PREC,PROG SPCD,JPAREDES,04-abr-23,09-ene-24,09-ene-24,,JFAILOC,03-ene-24,LIB.,PROG,ABIE,PROG
PAL,PD102,2,ZM01,,7133472,CAMBIO DE MANGUERAS DE CABEZAL,MECPAL01,LIB. DMNV EDET FMAT MOVM NLIQ PREC,WMAT SPCD,JPAREDES,04-abr-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD102,2,ZM01,,7133476,CBIO MANGUERAS ANTES QUE HAYA FUGA,MECPAL01,LIB. IMPR DMNV FMAT NLIQ PREC,PROG SPCD,JPAREDES,04-abr-23,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD102,2,ZM01,,7133478,CAMBIO DE O-RING DE CABEZAL.,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,04-abr-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7133483,CBIO MANOMETRO TEMPERA. TANQUE COMPRES.,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,PROG SPCD,JPAREDES,04-abr-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD301,2,ZM01,,7133493,IMPLEMENTAR TAPA DE FILTRO,MECPAL01,LIB. IMPR DMNV FMAT MOVM NLIQ PREC,CANC SPCD,JPAREDES,04-abr-23,17-dic-23,17-dic-23,,FNINA,02-mar-24,LIB.,CANC,ABIE,CANC
PAL,PD302,2,ZM01,,7133494,CAMBIO DE GRECAS DE VIDRIOS DE CABINA,MECPAL01,LIB. DMNV NLIQ PREC,DPRO SPCD,JPAREDES,04-abr-23,20-abr-24,20-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD301,2,ZM01,,7133498,CAMBIO DE PISOS DE CABINA,MECPAL01,LIB. DMNV FMAT NLIQ PREC,DPRO SPCD,JPAREDES,04-abr-23,20-abr-24,20-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,2,ZM01,,7133663,CAMBIO DE PINES Y BOCINAS DE CARRUSEL PB,MECPAL01,LIB. DMNV NLIQ PREC,DPRO SPCD,ETAPIA,08-abr-23,19-abr-24,19-abr-24,,UGPMMAININ05,02-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD401,2,ZM01,,7133998,Cambio de empaquetadura del cabezal Rota,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,14-abr-23,14-abr-23,14-abr-23,,UGPMCONFSU02,03-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD302,2,ZM01,,7134213,cbo. grecas de vidrios de cab.,MECPAL01,ABIE DMNV FENA KKMP PREC,CANC SPCD,JPAREDES,19-abr-23,26-abr-23,,,FNINA,04-feb-24,ABIE,CANC,ABIE,CANC
PAL,PD302,2,ZM01,,7134214,Reparación por sold. stema rod support,MECPAL01,LIB. DMNV KKMP NLIQ PREC,PROG SPCD,JPAREDES,19-abr-23,12-feb-23,06-feb-24,,FNINA,06-feb-24,LIB.,PROG,ABIE,PROG
PAL,PD402,2,ZM01,,7134553,camb. accionador mecanico de bloque mcc,MINELC01,LIB. DMNV EDET NLIQ PREC,WMAT SPCD,RSALAZAR,26-abr-23,30-abr-24,30-abr-24,,JTERRONES,21-feb-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7134855,Cambios de pestillos de puerta,MECPAL01,LIB. EDET FMAT MOVM NLIQ PREC,EJEC SPCD,JPAREDES,02-may-23,09-may-23,09-may-23,,FNINA,15-mar-24,LIB.,EJEC,ABIE,EJEC
PAL,PD402,1,ZM01,,7134872,DAÑOS EN MANGUEROTE - RIESGO DE FALLA,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,DPRO CUST SPCD,FNINA,02-may-23,16-may-24,16-may-24,,FNINA,18-mar-24,LIB.,DPRO,ABIE,DPRO
PAL,PD101,2,ZM01,,7134996,sensor de llenado de grasa roto,MINELC01,LIB. IMPR DMNV MOVM NLIQ PREC,DPRO SPCD,RSALAZAR,05-may-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
PAL,PD402,2,ZM01,,7135002,PUNTO DE AGUA ADICIONAL - OPERACIONES,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,PROG SPCD,FNINA,05-may-23,15-may-23,15-may-23,,YMORALES,12-oct-23,LIB.,PROG,ABIE,PROG
PAL,PD101,1,ZM01,,7135325,CMB OREJA DE BLOQUEO VERTICAL DE TORRE,MECPAL01,LIB. DMNV EDET MOVM NLIQ PREC,CANC SPCD,FNINA,11-may-23,24-oct-23,24-oct-23,,FNINA,02-mar-24,LIB.,CANC,ABIE,CANC
PAL,PD102,1,ZM01,,7135335,CMB CORTINA FRONTAL DE POLVO,MECPAL01,LIB. IMPR DMNV NLIQ PREC,PROG SPCD,FNINA,11-may-23,17-abr-24,17-abr-24,,UGPMCONFSU02,10-abr-24,LIB.,PROG,ABIE,PROG
PAL,PD101,2,ZM01,,7136745,cambio de sellos de puerta cabina,MECPAL01,LIB. IMPR DMNV MOVM NLIQ PREC,PROG SPCD,RSALAZAR,01-jun-23,09-ene-24,09-ene-24,,JFAILOC,03-ene-24,LIB.,PROG,ABIE,PROG
PAL,PD102,2,ZM01,,7136746,cambio de sellos de puerta cabina operad,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,RSALAZAR,01-jun-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7137167,CAMBIO DE REGULADOR DE COMPRESOR,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,08-jun-23,15-jun-23,25-mar-24,,UGPMCONFSU02,03-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7137173,CBO. chapa de puerta sala maquinas LNC,MECPAL01,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,08-jun-23,21-sep-24,21-sep-24,,FNINA,28-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,2,ZM01,,7137439,CAMBIO DE BOBMA DE AGUA,MECPAL01,LIB. NOTI EDET KKMP NLIQ PREC,CANC PPAL SPCD,JPAREDES,11-jun-23,18-jun-23,18-jun-23,11-jun-23,FNINA,16-feb-24,LIB.,CANC,ABIE,CANC
PAL,PD401,2,ZM01,,7137675,CBO. Guiador d cable reel x desgaste,MEC_MUR,LIB. DMNV EDET FMAT NLIQ PREC,WMAT SPCD,JPAREDES,14-jun-23,15-abr-24,15-abr-24,,FNINA,30-mar-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,2,ZM01,,7137709,Reemplazo tacometro de velocidad,MINELC01,LIB. DMNV NLIQ PREC,WMAT SPCD,JTAYPE,14-jun-23,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD402,2,ZM01,,7137739,camb.cargador de bateria,MINELC01,LIB. IMPR DMNV NLIQ PREC,WMAT SPCD,UGPMALTENS01,15-jun-23,17-abr-24,17-abr-24,,FNINA,11-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7137794,Cbio switch temperatura calefacción,MINELC01,LIB. NOTI IMPR DMNV NLIQ PREC,WMAT SPCD,UGPMALTENS01,17-jun-23,09-abr-24,25-mar-24,25-mar-24,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD103,2,ZM01,,7138103,REEMPLAZO PERNO DE SOPORTE LLAVE QUIEBRE,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,22-jun-23,15-abr-24,15-abr-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD301,2,ZM01,,7138105,CAMBIO DE ROD SEAL,MECPAL01,LIB. DMNV NLIQ PREC,WMAT SPCD,JPAREDES,22-jun-23,05-may-24,05-may-24,,FNINA,13-abr-24,LIB.,WMAT,ABIE,WMAT
PAL,PD401,2,ZM01,,7138108,INSTALACION DE SEGURO DE PIN A,MECPAL01,LIB. DMNV EDET NLIQ PREC,DPRO SPCD,JPAREDES,22-jun-23,26-abr-24,26-abr-24,,FNINA,13-abr-24,LIB.,DPRO,ABIE,DPRO
